baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,gene_id,locus_tag,feature_type,gene_symbol,product,EC_number,COG,display_name,plot_label,classification
9991.317501,5.955887755,0.084797774,70.23636903,0,0,AENJPLPP_01540,AENJPLPP_01540,CDS,yclQ,Petrobactin-binding protein YclQ,,COG4607,yclQ,"yclQ
(AENJPLPP_01540)",Up in serum
2536.849639,5.946453678,0.109546228,54.28259625,0,0,AENJPLPP_01537,AENJPLPP_01537,CDS,yclN,Petrobactin import system permease protein YclN,,COG4606,yclN,"yclN
(AENJPLPP_01537)",Up in serum
486.9955509,5.94390937,0.221665365,26.81478617,2.17E-158,1.77E-157,AENJPLPP_00939,AENJPLPP_00939,CDS,NA,hypothetical protein,,,hypothetical protein,hypothetical protein,Up in serum
15532.97383,5.926640146,0.071515215,82.87243729,0,0,AENJPLPP_01558,AENJPLPP_01558,CDS,bioY2,Biotin transporter BioY2,,COG1268,bioY2,"bioY2
(AENJPLPP_01558)",Up in serum
10585.29953,5.882344441,0.077206646,76.18961258,0,0,AENJPLPP_02297,AENJPLPP_02297,CDS,oppF_2,Oligopeptide transport ATP-binding protein OppF,,COG4608,oppF_2,"oppF_2
(AENJPLPP_02297)",Up in serum
4874.686026,5.82969886,0.09565,60.94823675,0,0,AENJPLPP_01538,AENJPLPP_01538,CDS,yclO,Petrobactin import system permease protein YclO,,COG4605,yclO,"yclO
(AENJPLPP_01538)",Up in serum
32968.78871,5.829091518,0.083861823,69.50828527,0,0,AENJPLPP_00580,AENJPLPP_00580,CDS,ydhF,Oxidoreductase YdhF,1.-.-.-,COG4989,ydhF,"ydhF
(AENJPLPP_00580)",Up in serum
14739.162,5.80053818,0.071484955,81.14348215,0,0,AENJPLPP_02298,AENJPLPP_02298,CDS,NA,IS200/IS605 family transposase ISEfa4,,,IS200/IS605 family transposase ISEfa4,IS200/IS605 family transposase ISEfa4,Up in serum
148.3250993,5.784359595,0.376762279,15.35280976,3.39E-53,1.26E-52,AENJPLPP_00937,AENJPLPP_00937,CDS,NA,hypothetical protein,,,hypothetical protein,hypothetical protein,Up in serum
786.122342,5.753889668,0.178975249,32.14908042,9.10E-227,1.09E-225,AENJPLPP_00981,AENJPLPP_00981,CDS,NA,hypothetical protein,,,hypothetical protein,hypothetical protein,Up in serum
126.1720426,5.728803557,0.399995316,14.32217659,1.59E-46,5.43E-46,AENJPLPP_00934,AENJPLPP_00934,CDS,NA,hypothetical protein,,,hypothetical protein,hypothetical protein,Up in serum
9986.954173,5.665915654,0.087081099,65.06481589,0,0,AENJPLPP_02307,AENJPLPP_02307,CDS,niaX,Niacin transporter NiaX,,,niaX,"niaX
(AENJPLPP_02307)",Up in serum
3140.341756,5.649320281,0.102795462,54.95690355,0,0,AENJPLPP_00593,AENJPLPP_00593,CDS,purE,N5-carboxyaminoimidazole ribonucleotide mutase,5.4.99.18,COG0041,purE,"purE
(AENJPLPP_00593)",Up in serum
11692.19689,5.624390117,0.07539362,74.6003462,0,0,AENJPLPP_00392,AENJPLPP_00392,CDS,ysnF,Stress response protein YsnF,,,ysnF,"ysnF
(AENJPLPP_00392)",Up in serum
2880.527036,5.554827521,0.192821653,28.80811071,1.70E-182,1.60E-181,AENJPLPP_02140,AENJPLPP_02140,CDS,licA_2,Lichenan-specific phosphotransferase enzyme IIA component,,COG1447,licA_2,"licA_2
(AENJPLPP_02140)",Up in serum
59.22520497,5.543885534,0.549747297,10.08442528,6.47E-24,1.58E-23,AENJPLPP_02187,AENJPLPP_02187,CDS,NA,hypothetical protein,,,hypothetical protein,hypothetical protein,Up in serum
3077.51562,5.538735917,0.101566729,54.53297514,0,0,AENJPLPP_01539,AENJPLPP_01539,CDS,yclP,Petrobactin import ATP-binding protein YclP,7.2.2.-,COG4604,yclP,"yclP
(AENJPLPP_01539)",Up in serum
102.9503491,5.531629465,0.422254914,13.10021336,3.28E-39,1.01E-38,AENJPLPP_02142,AENJPLPP_02142,CDS,NA,hypothetical protein,,,hypothetical protein,hypothetical protein,Up in serum
1667.986992,5.473394175,0.129695267,42.20195772,0,0,AENJPLPP_02139,AENJPLPP_02139,CDS,ptcB_1,PTS system galactose-specific EIIB component,2.7.1.204,COG1440,ptcB_1,"ptcB_1
(AENJPLPP_02139)",Up in serum
3814.192131,5.466996292,0.203150983,26.91100088,1.63E-159,1.34E-158,AENJPLPP_02141,AENJPLPP_02141,CDS,celB,PTS system cellobiose-specific EIIC component,,COG1455,celB,"celB
(AENJPLPP_02141)",Up in serum
1341.662903,5.462605381,0.126178856,43.29255751,0,0,AENJPLPP_00979,AENJPLPP_00979,CDS,NA,hypothetical protein,,,hypothetical protein,hypothetical protein,Up in serum
20.99103165,5.455806814,0.897520739,6.078752923,1.21E-09,2.14E-09,AENJPLPP_02188,AENJPLPP_02188,CDS,NA,hypothetical protein,,,hypothetical protein,hypothetical protein,Up in serum
27.95943771,5.452554295,0.781137864,6.980271403,2.95E-12,5.65E-12,AENJPLPP_02143,AENJPLPP_02143,CDS,NA,hypothetical protein,,,hypothetical protein,hypothetical protein,Up in serum
19611.73008,5.371267098,0.067869329,79.14130273,0,0,AENJPLPP_02928,AENJPLPP_02928,CDS,ohrB_2,Organic hydroperoxide resistance protein OhrB,,COG1764,ohrB_2,"ohrB_2
(AENJPLPP_02928)",Up in serum
32.36361065,5.342620795,0.697680697,7.657687562,1.89E-14,3.83E-14,AENJPLPP_02192,AENJPLPP_02192,CDS,NA,hypothetical protein,,,hypothetical protein,hypothetical protein,Up in serum
700.3872865,5.23775032,0.291296959,17.98079299,2.76E-72,1.26E-71,AENJPLPP_00973,AENJPLPP_00973,CDS,NA,hypothetical protein,,,hypothetical protein,hypothetical protein,Up in serum
3263.652615,5.195724582,0.085980073,60.42940414,0,0,AENJPLPP_00977,AENJPLPP_00977,CDS,NA,hypothetical protein,,,hypothetical protein,hypothetical protein,Up in serum
209.9899476,5.190875769,0.267987136,19.3698692,1.39E-83,7.01E-83,AENJPLPP_02960,AENJPLPP_02960,CDS,manX_6,PTS system mannose-specific EIIAB component,2.7.1.191,COG2893,manX_6,"manX_6
(AENJPLPP_02960)",Up in serum
1724.052217,5.117456758,0.104710177,48.87258225,0,0,AENJPLPP_00662,AENJPLPP_00662,CDS,NA,hypothetical protein,,,hypothetical protein,hypothetical protein,Up in serum
53927.15437,5.09290473,0.062739663,81.17519996,0,0,AENJPLPP_01633,AENJPLPP_01633,CDS,adhE,Aldehyde-alcohol dehydrogenase,,COG1012,adhE,"adhE
(AENJPLPP_01633)",Up in serum
784.2277852,5.056380191,0.144001237,35.11344961,4.20E-270,5.95E-269,AENJPLPP_00190,AENJPLPP_00190,CDS,NA,hypothetical protein,,,hypothetical protein,hypothetical protein,Up in serum
2605.206801,5.037328128,0.099989875,50.37838204,0,0,AENJPLPP_02031,AENJPLPP_02031,CDS,NA,hypothetical protein,,,hypothetical protein,hypothetical protein,Up in serum
1250.733147,5.013444832,0.120258257,41.68898642,0,0,AENJPLPP_00308,AENJPLPP_00308,CDS,NA,hypothetical protein,,,hypothetical protein,hypothetical protein,Up in serum
779.0323054,4.997472726,0.139731462,35.76483522,3.89E-280,5.77E-279,AENJPLPP_01515,AENJPLPP_01515,CDS,NA,hypothetical protein,,,hypothetical protein,hypothetical protein,Up in serum
276.5494184,4.996948005,0.22285069,22.42285186,2.36E-111,1.47E-110,AENJPLPP_00975,AENJPLPP_00975,CDS,NA,hypothetical protein,,,hypothetical protein,hypothetical protein,Up in serum
20.26578057,4.975321118,0.795667636,6.253014317,4.03E-10,7.20E-10,AENJPLPP_00971,AENJPLPP_00971,CDS,NA,hypothetical protein,,,hypothetical protein,hypothetical protein,Up in serum
1852.399054,4.961241338,0.104286553,47.57316444,0,0,AENJPLPP_01904,AENJPLPP_01904,CDS,vioD,Capreomycidine synthase,4.2.1.145,,vioD,"vioD
(AENJPLPP_01904)",Up in serum
49.83791897,4.957256661,0.509692362,9.725977922,2.34E-22,5.57E-22,AENJPLPP_00938,AENJPLPP_00938,CDS,NA,hypothetical protein,,,hypothetical protein,hypothetical protein,Up in serum
534.7076169,4.944710751,0.170641561,28.97717724,1.28E-184,1.21E-183,AENJPLPP_00976,AENJPLPP_00976,CDS,NA,hypothetical protein,,,hypothetical protein,hypothetical protein,Up in serum
44.5322411,4.944462759,0.533254152,9.272244276,1.82E-20,4.18E-20,AENJPLPP_00945,AENJPLPP_00945,CDS,NA,hypothetical protein,,,hypothetical protein,hypothetical protein,Up in serum
4292.28341,4.941515903,0.080090138,61.69943059,0,0,AENJPLPP_00663,AENJPLPP_00663,CDS,folT_1,Folate transporter FolT,,,folT_1,"folT_1
(AENJPLPP_00663)",Up in serum
58.14499961,4.914940065,0.468378499,10.49352196,9.25E-26,2.34E-25,AENJPLPP_00949,AENJPLPP_00949,CDS,NA,hypothetical protein,,,hypothetical protein,hypothetical protein,Up in serum
1008.648434,4.911560989,0.131261685,37.4180858,1.99E-306,3.37E-305,AENJPLPP_00974,AENJPLPP_00974,CDS,NA,hypothetical protein,,,hypothetical protein,hypothetical protein,Up in serum
14.36356824,4.899051161,0.925590556,5.292892336,1.20E-07,1.99E-07,AENJPLPP_00931,AENJPLPP_00931,CDS,NA,hypothetical protein,,,hypothetical protein,hypothetical protein,Up in serum
42.07316473,4.861362339,0.536512164,9.061047757,1.29E-19,2.91E-19,AENJPLPP_00965,AENJPLPP_00965,CDS,NA,hypothetical protein,,,hypothetical protein,hypothetical protein,Up in serum
332.5812988,4.842873075,0.19828203,24.42416531,9.47E-132,6.65E-131,AENJPLPP_00970,AENJPLPP_00970,CDS,NA,hypothetical protein,,,hypothetical protein,hypothetical protein,Up in serum
1457.66275,4.834946019,0.106843814,45.25246571,0,0,AENJPLPP_01903,AENJPLPP_01903,CDS,arcD1_1,Arginine/ornithine antiporter ArcD1,,COG0531,arcD1_1,"arcD1_1
(AENJPLPP_01903)",Up in serum
2355.344031,4.802560088,0.104424263,45.99084483,0,0,AENJPLPP_00410,AENJPLPP_00410,CDS,NA,hypothetical protein,,,hypothetical protein,hypothetical protein,Up in serum
480.1583531,4.758647065,0.164033464,29.0102211,4.89E-185,4.66E-184,AENJPLPP_00943,AENJPLPP_00943,CDS,NA,hypothetical protein,,,hypothetical protein,hypothetical protein,Up in serum
921.9431027,4.745706829,0.126090206,37.6373945,5.26011213963301e-310,0.00E+00,AENJPLPP_02032,AENJPLPP_02032,CDS,NA,putative phosphotransferase enzyme IIB component,2.7.1.-,,putative phosphotransferase enzyme IIB component,putative phosphotransferase enzyme IIB component,Up in serum
5056.990558,4.666399227,0.073400318,63.57464603,0,0,AENJPLPP_00268,AENJPLPP_00268,CDS,NA,hypothetical protein,,,hypothetical protein,hypothetical protein,Up in serum
82.22876065,4.665968275,0.36628005,12.73879992,3.60E-37,1.07E-36,AENJPLPP_02190,AENJPLPP_02190,CDS,NA,hypothetical protein,,,hypothetical protein,hypothetical protein,Up in serum
193.4972608,4.635595849,0.241258277,19.21424586,2.81E-82,1.41E-81,AENJPLPP_02186,AENJPLPP_02186,CDS,NA,hypothetical protein,,,hypothetical protein,hypothetical protein,Up in serum
