"baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene_id","locus_tag","feature_type","gene_symbol","product","EC_number","COG","display_name","plot_label","classification"
27568.4447564291,-5.20526929157303,0.0626268110599445,-83.1156688880535,0,0,"AENJPLPP_00830","AENJPLPP_00830","CDS","cfiB","2-oxoglutarate carboxylase small subunit","6.4.1.7","COG0439","cfiB","cfiB
(AENJPLPP_00830)","Down in serum"
8078.18196439234,-5.34667140074813,0.0951896236738275,-56.1686368155923,0,0,"AENJPLPP_00831","AENJPLPP_00831","CDS","fabZ_2","3-hydroxyacyl-[acyl-carrier-protein] dehydratase FabZ","4.2.1.59","COG0764","fabZ_2","fabZ_2
(AENJPLPP_00831)","Down in serum"
10220.8275714661,-5.22005547377873,0.088557519782705,-58.9453666564654,0,0,"AENJPLPP_00832","AENJPLPP_00832","CDS","accB","Biotin carboxyl carrier protein of acetyl-CoA carboxylase","","","accB","accB
(AENJPLPP_00832)","Down in serum"
19566.0817257621,-5.24241783871974,0.0758102640369289,-69.151821396718,0,0,"AENJPLPP_00833","AENJPLPP_00833","CDS","fabF","3-oxoacyl-[acyl-carrier-protein] synthase 2","2.3.1.179","COG0304","fabF","fabF
(AENJPLPP_00833)","Down in serum"
18080.1676965605,-5.48443551036749,0.069084836278811,-79.3869654439583,0,0,"AENJPLPP_00834","AENJPLPP_00834","CDS","fabG_2","3-oxoacyl-[acyl-carrier-protein] reductase FabG","1.1.1.100","","fabG_2","fabG_2
(AENJPLPP_00834)","Down in serum"
16740.7594828412,-5.63478423621023,0.0747573467922878,-75.3743207589536,0,0,"AENJPLPP_00835","AENJPLPP_00835","CDS","fabD","Malonyl CoA-acyl carrier protein transacylase","2.3.1.39","COG0331","fabD","fabD
(AENJPLPP_00835)","Down in serum"
11845.0102160263,-5.69432751981694,0.086602695515107,-65.7523127420857,0,0,"AENJPLPP_00836","AENJPLPP_00836","CDS","acpA","Acyl carrier protein","","COG0236","acpA","acpA
(AENJPLPP_00836)","Down in serum"
18522.3251739556,-4.46756804823547,0.0705027553211202,-63.3672829932242,0,0,"AENJPLPP_00837","AENJPLPP_00837","CDS","fabH","3-oxoacyl-[acyl-carrier-protein] synthase 3","2.3.1.180","COG0332","fabH","fabH
(AENJPLPP_00837)","Down in serum"
10119.8894015314,-4.46145009742862,0.0693046828923552,-64.3744392331784,0,0,"AENJPLPP_00838","AENJPLPP_00838","CDS",NA,"hypothetical protein","","","hypothetical protein","hypothetical protein","Down in serum"
11433.8909701577,-2.25598541676734,0.055147973479265,-40.9078570695906,0,0,"AENJPLPP_00874","AENJPLPP_00874","CDS","greA","Transcription elongation factor GreA","","COG0782","greA","greA
(AENJPLPP_00874)","Down in serum"
50219.5721754604,-3.0875121927659,0.0503574092278996,-61.3119745456507,0,0,"AENJPLPP_01020","AENJPLPP_01020","CDS","rplL","50S ribosomal protein L7/L12","","COG0222","rplL","rplL
(AENJPLPP_01020)","Down in serum"
109931.619997051,-2.87260701626015,0.073930030884484,-38.8557529584779,0,0,"AENJPLPP_01021","AENJPLPP_01021","CDS","rplJ","50S ribosomal protein L10","","","rplJ","rplJ
(AENJPLPP_01021)","Down in serum"
25838.3592036584,-2.54799801998822,0.058084026848577,-43.8674478722139,0,0,"AENJPLPP_01022","AENJPLPP_01022","CDS","rplA","50S ribosomal protein L1","","","rplA","rplA
(AENJPLPP_01022)","Down in serum"
30434.9987511828,-2.61873362008808,0.0569048734596988,-46.019496413479,0,0,"AENJPLPP_01023","AENJPLPP_01023","CDS","rplK","50S ribosomal protein L11","","","rplK","rplK
(AENJPLPP_01023)","Down in serum"
4850.41198619534,-2.42844004372001,0.0618652235511571,-39.2537180717031,0,0,"AENJPLPP_01082","AENJPLPP_01082","CDS","ackA","Acetate kinase","2.7.2.1","COG0282","ackA","ackA
(AENJPLPP_01082)","Down in serum"
4099.93386590632,-3.48462937164851,0.0709742501661932,-49.0970931498242,0,0,"AENJPLPP_01083","AENJPLPP_01083","CDS",NA,"hypothetical protein","","","hypothetical protein","hypothetical protein","Down in serum"
