baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,gene_id,locus_tag,feature_type,gene_symbol,product,EC_number,COG,display_name,plot_label,classification
3661.196864,9.349949799,0.248734027,37.59015167,0.00E+00,5.34E-308,AENJPLPP_00588,AENJPLPP_00588,CDS,purS,Phosphoribosylformylglycinamidine synthase subunit PurS,6.3.5.3,COG1828,purS,"purS
(AENJPLPP_00588)",Up in serum
15776.05514,9.160367445,0.504406141,18.16069771,1.06E-73,4.90E-73,AENJPLPP_00587,AENJPLPP_00587,CDS,purQ,Phosphoribosylformylglycinamidine synthase subunit PurQ,6.3.5.3,COG0047,purQ,"purQ
(AENJPLPP_00587)",Up in serum
18940.01554,8.99458824,0.390936079,23.00782331,3.89E-117,2.53E-116,AENJPLPP_00589,AENJPLPP_00589,CDS,purC,Phosphoribosylaminoimidazole-succinocarboxamide synthase,6.3.2.6,COG0152,purC,"purC
(AENJPLPP_00589)",Up in serum
56111.1397,8.910571134,0.418395801,21.29698985,1.21E-100,7.01E-100,AENJPLPP_00586,AENJPLPP_00586,CDS,purL,Phosphoribosylformylglycinamidine synthase subunit PurL,6.3.5.3,COG0046,purL,"purL
(AENJPLPP_00586)",Up in serum
25278.01636,8.781248953,0.322857246,27.19854998,6.76E-163,5.66E-162,AENJPLPP_00585,AENJPLPP_00585,CDS,purF,Amidophosphoribosyltransferase,2.4.2.14,,purF,"purF
(AENJPLPP_00585)",Up in serum
23576.95994,8.389353691,0.246556051,34.02615209,9.15E-254,1.24E-252,AENJPLPP_00584,AENJPLPP_00584,CDS,purM,Phosphoribosylformylglycinamidine cyclo-ligase,6.3.3.1,COG0150,purM,"purM
(AENJPLPP_00584)",Up in serum
33334.84877,8.313467032,0.297827311,27.91371615,1.82E-171,1.59E-170,AENJPLPP_00582,AENJPLPP_00582,CDS,purH,Bifunctional purine biosynthesis protein PurH,,,purH,"purH
(AENJPLPP_00582)",Up in serum
39088.53882,8.283628792,0.278130796,29.78321319,6.45E-195,6.56E-194,AENJPLPP_00581,AENJPLPP_00581,CDS,purD,Phosphoribosylamine--glycine ligase,6.3.4.13,COG0151,purD,"purD
(AENJPLPP_00581)",Up in serum
7811.816549,8.063523959,0.228814964,35.24036984,4.82E-272,6.92E-271,AENJPLPP_00583,AENJPLPP_00583,CDS,purN,Phosphoribosylglycinamide formyltransferase,2.1.2.2,,purN,"purN
(AENJPLPP_00583)",Up in serum
14315.02226,7.745392281,0.099258945,78.03218383,0,0,AENJPLPP_00528,AENJPLPP_00528,CDS,NA,hypothetical protein,,,hypothetical protein,hypothetical protein,Up in serum
