"gene_id","gene_symbol","product","serum_1","serum_2","serum_3","BHI_1","BHI_2","BHI_3"
"AENJPLPP_00001",NA,"hypothetical protein",156.133349692258,146.535833254097,161.0659452016,123.648453680586,126.818078222674,137.871325861485
"AENJPLPP_00003",NA,"Putative phosphatase",832.711198358711,896.046818209175,905.59594355072,1521.0578162325,1479.24229812591,1455.08802186186
"AENJPLPP_00004",NA,"hypothetical protein",181.577302975441,213.863107992466,175.999211644133,403.675834074854,374.113330756889,338.231094379615
"AENJPLPP_00005","srrA_1","Transcriptional regulatory protein SrrA",1261.78877417966,1211.89094529064,1282.12759028029,1228.30191854758,1116.90493177541,1215.05305165697
"AENJPLPP_00006",NA,"hypothetical protein",1103.34233782529,1068.32543298088,1076.26184575109,841.900500795753,761.814312751922,760.771992343592
"AENJPLPP_00007","phoR_1","Alkaline phosphatase synthesis sensor protein PhoR",595.619815492689,595.054295849408,557.864167817464,398.220755236004,438.428213284103,499.907541253155
"AENJPLPP_00008",NA,"hypothetical protein",63.6098832079571,56.4360979424563,71.4663465464055,91.8271604539645,78.8083771812333,81.3341634578546
"AENJPLPP_00009",NA,"hypothetical protein",102.932356463785,113.862302866359,142.932693092811,106.374037357563,123.194704559169,120.017485102444
"AENJPLPP_00010","ltaS1_1","Lipoteichoic acid synthase 1",14131.802962146,14014.9643223767,14362.60233205,8487.19349344315,8779.43438667257,8838.64305576759
"AENJPLPP_00011","rlmI","Ribosomal RNA large subunit methyltransferase I",1151.91715772955,1202.97998245762,1107.19504052491,1483.78144416703,1354.23590673499,1408.46965987992
"AENJPLPP_00012","aroD","3-dehydroquinate dehydratase",922.921578180905,933.670883504146,919.4625481045,601.877031886381,636.807921361,632.819466903796
"AENJPLPP_00013","ybaK_1","Cys-tRNA(Pro)/Cys-tRNA(Cys) deacylase YbaK",1015.44504466521,1059.41447014786,1035.7286939785,650.972741436025,637.713764776876,580.249824668841
"AENJPLPP_00014","baiN","3-dehydro-bile acid delta(4,6)-reductase",1500.03670037673,1500.0120768916,1407.99369315306,1100.10756583462,914.901850035008,1013.70140309668
"AENJPLPP_00015","gdh","NADP-specific glutamate dehydrogenase",7370.65064880565,7712.93338546903,7268.23410995831,4436.79745559749,4259.2757414501,4134.15601576022
"AENJPLPP_00016","pgi","Glucose-6-phosphate isomerase",21785.8067270598,22024.9298022797,21238.3048669475,18246.3295361447,20749.2492840613,20998.1004927169
